Datetime,^GSPC
2024-11-04 14:39:00+00:00,5714.02001953125
2024-11-04 14:40:00+00:00,5717.18017578125
2024-11-04 14:41:00+00:00,5722.0
2024-11-04 14:42:00+00:00,5722.52978515625
2024-11-04 14:43:00+00:00,5725.43017578125
2024-11-04 14:44:00+00:00,5726.919921875
2024-11-04 14:45:00+00:00,5730.14013671875
2024-11-04 14:46:00+00:00,5729.830078125
2024-11-04 14:47:00+00:00,5731.080078125
2024-11-04 14:48:00+00:00,5731.10009765625
2024-11-04 14:49:00+00:00,5730.64990234375
2024-11-04 14:50:00+00:00,5724.6298828125
2024-11-04 14:51:00+00:00,5724.89990234375
2024-11-04 14:52:00+00:00,5723.66015625
2024-11-04 14:53:00+00:00,5724.4599609375
2024-11-04 14:54:00+00:00,5726.02001953125
2024-11-04 14:55:00+00:00,5727.60009765625
2024-11-04 14:56:00+00:00,5725.66015625
2024-11-04 14:57:00+00:00,5729.77978515625
2024-11-04 14:58:00+00:00,5730.0
2024-11-04 14:59:00+00:00,5731.31005859375
2024-11-04 15:00:00+00:00,5729.35986328125
2024-11-04 15:01:00+00:00,5731.85986328125
2024-11-04 15:02:00+00:00,5731.6201171875
2024-11-04 15:03:00+00:00,5730.35009765625
2024-11-04 15:04:00+00:00,5731.41015625
2024-11-04 15:05:00+00:00,5731.580078125
2024-11-04 15:06:00+00:00,5734.64013671875
2024-11-04 15:07:00+00:00,5734.14013671875
2024-11-04 15:08:00+00:00,5731.52978515625
2024-11-04 15:09:00+00:00,5731.14990234375
2024-11-04 15:10:00+00:00,5731.85986328125
2024-11-04 15:11:00+00:00,5732.02001953125
2024-11-04 15:12:00+00:00,5731.08984375
2024-11-04 15:13:00+00:00,5729.8701171875
2024-11-04 15:14:00+00:00,5730.33984375
2024-11-04 15:15:00+00:00,5732.419921875
2024-11-04 15:16:00+00:00,5731.81982421875
2024-11-04 15:17:00+00:00,5733.419921875
2024-11-04 15:18:00+00:00,5734.0400390625
2024-11-04 15:19:00+00:00,5733.64990234375
2024-11-04 15:20:00+00:00,5735.75
2024-11-04 15:21:00+00:00,5735.18994140625
2024-11-04 15:22:00+00:00,5735.080078125
2024-11-04 15:23:00+00:00,5736.47021484375
2024-11-04 15:24:00+00:00,5740.5400390625
2024-11-04 15:25:00+00:00,5739.47998046875
2024-11-04 15:26:00+00:00,5738.9501953125
2024-11-04 15:27:00+00:00,5736.43994140625
2024-11-04 15:28:00+00:00,5736.77001953125
2024-11-04 15:29:00+00:00,5737.52001953125
2024-11-04 15:30:00+00:00,5735.5
2024-11-04 15:31:00+00:00,5737.08984375
2024-11-04 15:32:00+00:00,5738.10009765625
2024-11-04 15:33:00+00:00,5734.85986328125
2024-11-04 15:34:00+00:00,5735.85009765625
2024-11-04 15:35:00+00:00,5735.1298828125
2024-11-04 15:36:00+00:00,5735.9599609375
2024-11-04 15:37:00+00:00,5736.56005859375
2024-11-04 15:38:00+00:00,5734.64013671875
2024-11-04 15:39:00+00:00,5732.5400390625
2024-11-04 15:40:00+00:00,5733.1201171875
2024-11-04 15:41:00+00:00,5734.4501953125
2024-11-04 15:42:00+00:00,5733.10009765625
2024-11-04 15:43:00+00:00,5734.41015625
2024-11-04 15:44:00+00:00,5735.68017578125
2024-11-04 15:45:00+00:00,5734.60986328125
2024-11-04 15:46:00+00:00,5731.02978515625
2024-11-04 15:47:00+00:00,5734.66015625
2024-11-04 15:48:00+00:00,5735.2900390625
2024-11-04 15:49:00+00:00,5737.7998046875
